tract,ams_res,res_vac,nostat_res,pct_residential_vacant,pct_no_stat,pct_vacant_12mo_plus,period
48141002000,1048,34,65,0.03244274809160305,0.06202290076335878,1.0,2025-09
48141002000,1048,35,65,0.033396946564885496,0.06202290076335878,0.9714285714285714,2025-12
48141002000,1051,34,65,0.03235014272121789,0.06184586108468126,0.9705882352941176,2026-03
48141002100,1204,92,81,0.07641196013289037,0.06727574750830564,0.9347826086956522,2024-12
48141002100,1204,92,78,0.07641196013289037,0.06478405315614617,0.9456521739130435,2025-03
48141002100,1204,94,77,0.07807308970099668,0.06395348837209303,0.9468085106382979,2025-06
48141002100,1204,94,77,0.07807308970099668,0.06395348837209303,0.9468085106382979,2025-09
48141002100,1205,95,77,0.07883817427385892,0.06390041493775933,0.9578947368421052,2025-12
48141002100,1205,94,76,0.07800829875518672,0.06307053941908713,0.9574468085106383,2026-03
48141002201,1439,9,92,0.006254343293954135,0.06393328700486449,0.6666666666666666,2024-12
48141002201,1440,10,86,0.006944444444444444,0.059722222222222225,0.6,2025-03
48141002201,1440,11,86,0.007638888888888889,0.059722222222222225,0.7272727272727273,2025-06
48141002201,1443,11,79,0.007623007623007623,0.05474705474705475,0.7272727272727273,2025-09
48141002201,1443,9,74,0.006237006237006237,0.05128205128205128,0.8888888888888888,2025-12
48141002201,1443,8,74,0.005544005544005544,0.05128205128205128,0.875,2026-03
48141002202,2039,7,85,0.0034330554193231977,0.04168710152035311,0.5714285714285714,2024-12
48141002202,2039,8,85,0.00392349190779794,0.04168710152035311,0.5,2025-03
48141002202,2039,8,85,0.00392349190779794,0.04168710152035311,0.5,2025-06
48141002202,2040,8,85,0.00392156862745098,0.041666666666666664,0.875,2025-09
48141002202,2040,6,83,0.0029411764705882353,0.04068627450980392,0.8333333333333334,2025-12
48141002202,2038,6,83,0.002944062806673209,0.04072620215897939,1.0,2026-03
48141002300,1856,35,25,0.018857758620689655,0.013469827586206896,0.9428571428571428,2024-12
48141002300,1869,37,25,0.019796682718031033,0.01337613697164259,0.8648648648648649,2025-03
48141002300,1869,38,25,0.020331728196896735,0.01337613697164259,0.7894736842105263,2025-06
48141002300,1869,39,25,0.02086677367576244,0.01337613697164259,0.7948717948717948,2025-09
48141002300,1869,37,20,0.019796682718031033,0.010700909577314071,0.8108108108108109,2025-12
48141002300,1869,34,20,0.01819154628143392,0.010700909577314071,0.9117647058823529,2026-03
48141002400,1337,63,27,0.04712041884816754,0.02019446522064323,0.9841269841269841,2024-12
48141002400,1337,63,27,0.04712041884816754,0.02019446522064323,0.9682539682539683,2025-03
48141002400,1337,62,27,0.04637247569184742,0.02019446522064323,0.967741935483871,2025-06
48141002400,1337,61,27,0.0456245325355273,0.02019446522064323,0.9672131147540983,2025-09
48141002400,1337,60,27,0.04487658937920718,0.02019446522064323,0.9666666666666667,2025-12
48141002400,1337,58,27,0.04338070306656694,0.02019446522064323,0.9482758620689655,2026-03
48141002500,2348,63,40,0.026831345826235094,0.017035775127768313,0.8571428571428571,2024-12
48141002500,2348,48,40,0.020442930153321975,0.017035775127768313,0.9166666666666666,2025-03
48141002500,2348,46,40,0.019591141396933562,0.017035775127768313,0.8913043478260869,2025-06
48141002500,2348,42,40,0.01788756388415673,0.017035775127768313,0.8809523809523809,2025-09
